sr_no,date,drawing_no,description,quantity,rate,total
1,20/10/2020,PM_413_03A_08,,10,70,700
2,20/10/2020,PM_413_07A_02,,10,70,700
3,20/10/2020,PM_413_10_13,,10,70,700
4,20/10/2020,PM_413_19_11,,10,70,700
5,20/10/2020,PM_413_01_24,,10,70,700
6,20/10/2020,PM_413_04A_01,,10,60,600
7,20/10/2020,PM_413_08_02,,10,70,700
8,20/10/2020,PM_413_01A_04,,10,70,700
9,20/10/2020,PM_431_0BA_02,,10,70,700
10,20/10/2020,PM_431_04A,,10,70,700
11,20/10/2020,PM_461/62/63_C_02,,6,170,1020
12,20/10/2020,PM_461/62/63_C_01,,6,170,1020
13,20/10/2020,PM_461/62/63_03A_02,,12,150,1800
14,20/10/2020,PM_413_13B_01,,4,165,660
15,20/10/2020,PM_413_02A_02,,10,70,700
16,20/10/2020,PM_413_01_33,,10,70,700
17,20/10/2020,PM_413_02_06_07,,20,70,1400
18,20/10/2020,PM_461/62/63/03B_05,,6,160,960
19,20/10/2020,PM_413_M_02,,2,110,220
20,20/10/2020,PM_413_07_01,,2,130,260
21,20/10/2020,PM_413_05A_01,,2,130,260
22,20/10/2020,PM_413_07_02,,2,150,300
23,20/10/2020,PM_413_4A_11,,10,70,700
24,27/10/2020,PM_413_01_225,,8,180,1440
25,27/10/2020,PM_413_10_14,,16,90,1440
26,27/10/2020,PM_413_07_14,,8,160,1280
27,27/10/2020,PM_413_21_03,,24,140,3360
28,27/10/2020,PM_413_0T_01X,,8,130,1040
29,27/10/2020,PM_413_09_01,,8,160,1280
30,27/10/2020,PM_413__14_17_01,,16,170,2720
31,27/10/2020,PM_413_01_04,,8,160,1280
32,27/10/2020,PM_413_099_12,,8,170,1360
33,27/10/2020,PM_413_0T__06X,,16,140,2240
34,27/10/2020,PM_413_13C_01,,16,240,3840
35,27/10/2020,PM_413_05_07,,8,120,960
36,27/10/2020,PM_413_05_06,,8,120,960
37,27/10/2020,PM_413_13C_06,,8,180,1440
38,27/10/2020,PM_413_13C_05,,8,180,1440
39,27/10/2020,PM_413_10_06,,8,120,960
40,27/10/2020,PM_413_10_05,,8,120,960
41,3/11/2020,IP_01_01,114x114x17,6,60,360
42,3/11/2020,IP_01,114x114x14,6,60,360
43,3/11/2020,PM_416/62/63_04A_03,,6,55,330
44,3/11/2020,PM_416/62/63_05_16,,10,52,520
45,3/11/2020,PM_416/62/63_05_17,,9,52,468
46,3/11/2020,PM_416/62/63_03A_19,,6,52,312
47,3/11/2020,PM_416/62/63_03A_08,,12,40,480
48,3/11/2020,PM_416/62/63_FS_08,,6,55,330
49,3/11/2020,PM_416/62/63_03B_08,,6,120,720
50,3/11/2020,PM_416/62/63_05_23,,5,120,600
51,3/11/2020,PM_416/62/63_04_07,,5,110,550
52,3/11/2020,PM_416/62/63_05_19,,6,165,990
53,3/11/2020,PM_416/62/63_03A_12,,6,50,300
54,3/11/2020,PM_416/62/63_04A_05,,12,90,1080
55,3/11/2020,PM_416/62/63_04A_17,,6,120,720
56,3/11/2020,PM_416/62/63_FS_05,,6,120,720
57,3/11/2020,PM_416/62/63_03A_19,,6,52,312
,8/11/2020,pm 413 5a 32,,2,350,
,,pm 413 c 01,,4,240,
,,pm 413 5a 33,,2,110,
,,pm 413 21 03,,6,140,
,,pm 413 1d 19,,2,140,
,,pm 413 4a 02,,2,130,
,,,65 x 65 x 31 L,2,65,
,,pm 413 010 14,,4,90,
,,,bracket h315 w110 l152,2,415,
,,pm 413 07 14,,2,160,
,,pm 413 01 04,,2,160,
,,pm 413 1b 10,,2,180,
,,pm 427 07 01x,,2,130,
,,pm 427 0t 6x,,4,140,
,,pm 427 5a 31,,2,210,
,,pm 427 1c 01,,2,350,
,,pm 427 01 25,,2,180,
,,pm ,,2,180,
